"Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area"
"2009,8,27,7,12,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,42XX,SKEENA ST,Renfrew-Collingwood"
"2009,8,27,7,19,CSG - Inspections,Reception,Reception After Hours Inquiry Case,16XX,W 62ND AV,Marpole"
"2009,8,27,7,37,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Out,Intersection,KINROSS ST and MARINE WAY,Killarney"
"2009,8,27,7,43,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,38XX,OSLER ST,Shaughnessy"
"2009,8,27,7,48,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,23XX,E 54TH AV,Victoria-Fraserview"
"2009,8,27,8,28,ENG - Transportation,Traffic and Data Management,Traffic Sign - Modify,Intersection,CAMBIE BRIDGE and W 2ND AV,Fairview"
"2009,8,27,8,31,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,34XX,E 29TH AV,Renfrew-Collingwood"
"2009,8,27,8,35,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,16XX,SALSBURY DRIVE,Grandview-Woodland"
"2009,8,27,8,44,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,24XX,HARRISON DRIVE,Victoria-Fraserview"
"2009,8,27,8,44,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,66XX,RUPERT ST,Killarney"
"2009,8,27,8,51,ENG - Solid Waste,Sanitation,Cart - Garbage,6XX,E GEORGIA ST,Strathcona"
"2009,8,27,8,52,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,63XX,BUTLER ST,Killarney"
"2009,8,27,9,2,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,19XX,E 11TH AV,Kensington-Cedar Cottage"
"2009,8,27,9,10,ENG - Solid Waste,Sanitation,Cart - Garbage,64XX,BUTLER ST,Killarney"
"2009,8,27,9,18,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,14XX,LABURNUM ST,Kitsilano"
"2009,8,27,9,24,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,Intersection,FRANKLIN ST and GLEN DRIVE,Strathcona"
"2009,8,27,9,26,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - New/Relocation,Intersection,COMMERCIAL DRIVE and E PENDER ST,Grandview-Woodland"
"2009,8,27,9,30,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,27XX,COLLINGWOOD ST,Kitsilano"
"2009,8,27,9,30,ENG - Solid Waste,Sanitation,Recycling Bag Request,34XX,E 45TH AV,Killarney"
"2009,8,27,9,31,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,18XX,E 35TH AV,Kensington-Cedar Cottage"
"2009,8,27,9,31,ENG - Solid Waste,Sanitation,Recycling Box Request,34XX,E 45TH AV,Killarney"
"2009,8,27,9,33,ENG - Solid Waste,Sanitation,Recycling Bag Request,36XX,W 38TH AV,Dunbar Southlands"
"2009,8,27,9,38,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Out,2XX,CARRALL ST,Downtown"
"2009,8,27,9,45,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,XX,CASSIAR ST,Hastings-Sunrise"
"2009,8,27,9,50,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,11XX,W 10TH AV,Fairview"
"2009,8,27,9,56,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,17XX,E 37TH AV,Kensington-Cedar Cottage"
"2009,8,27,9,58,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,17XX,E 49TH AV,"
"2009,8,27,9,58,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,400, - 699 E 37TH AV,Riley Park"
"2009,8,27,9,59,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),20XX,TRIUMPH ST,Grandview-Woodland"
"2009,8,27,10,0,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,18XX,E 8TH AV,Grandview-Woodland"
"2009,8,27,10,5,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,30XX,KINGSWAY,Renfrew-Collingwood"
"2009,8,27,10,13,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,43XX,SLOCAN ST,Renfrew-Collingwood"
"2009,8,27,10,15,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,16XX,MCLEAN DRIVE,Grandview-Woodland"
"2009,8,27,10,26,ENG - Streets,Streets Operations,Pothole - Repair,28XX,E GEORGIA ST,Hastings-Sunrise"
"2009,8,27,10,27,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Sign - Repair,22XX,W 1ST AV,Kitsilano"
"2009,8,27,10,30,ENG - Solid Waste,Sanitation,Recycling Bag Request,XX,W 18TH AV,Riley Park"
"2009,8,27,10,35,ENG - Solid Waste,Sanitation,Dead Skunk Pickup,2200, - 2299 VICTORIA DRIVE,Grandview-Woodland"
"2009,8,27,10,41,ENG - Streets,Streets Operations,Street - Repair,8XX,GORE AV,Strathcona"
"2009,8,27,10,47,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),41XX,STAULO CRESCENT,Dunbar Southlands"
"2009,8,27,10,47,ENG - Solid Waste,Sanitation,Cart - Garbage,22XX,E 41ST AV,Victoria-Fraserview"
"2009,8,27,10,49,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,27XX,W 36TH AV,Arbutus Ridge"
"2009,8,27,10,59,ENG - Solid Waste,Sanitation,Recycling Box Request,45XX,PUGET DRIVE,Arbutus Ridge"
"2009,8,27,11,5,ENG - Transportation,Traffic and Data Management,Curbside Sign - Modify,2XX,W 6TH AV,Mount Pleasant"
"2009,8,27,11,14,ENG - Solid Waste,Sanitation,Recycling Bag Request,15XX,E 41ST AV,Victoria-Fraserview"
"2009,8,27,11,14,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),35XX,W 32ND AV,Dunbar Southlands"
"2009,8,27,11,25,ENG - Solid Waste,Sanitation,Recycling Box Request,7XX,E 58TH AV,Sunset"
"2009,8,27,11,31,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,44XX,CROWN ST,Dunbar Southlands"
"2009,8,27,11,32,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,42XX,LAUREL ST,South Cambie"
"2009,8,27,11,36,ENG - Solid Waste,Sanitation,Cart - Garbage,59XX,VICTORIA DRIVE,Victoria-Fraserview"
"2009,8,27,11,36,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,27XX,COMMERCIAL DRIVE,Kensington-Cedar Cottage"
"2009,8,27,11,44,ENG - Streets,Streets Operations,Street - Repair,1800, - 1899 E 55TH AV,Victoria-Fraserview"
"2009,8,27,11,59,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,34XX,E 27TH AV,Renfrew-Collingwood"
"2009,8,27,12,6,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,4XX,W 6TH AV,Mount Pleasant"
"2009,8,27,12,7,ENG - Solid Waste,Sanitation,Recycling Box Request,21XX,W 6TH AV,Kitsilano"
"2009,8,27,12,8,ENG - Solid Waste,Sanitation,Recycling Bag Request,21XX,W 6TH AV,Kitsilano"
"2009,8,27,12,12,ENG - Solid Waste,Sanitation,Cart - Apartment Recycling,22XX,ETON ST,Grandview-Woodland"
"2009,8,27,12,20,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,87XX,FREMLIN ST,Marpole"
"2009,8,27,12,27,ENG - Solid Waste,Sanitation,Cart - Apartment Recycling,13XX,PENDRELL ST,West End"
"2009,8,27,12,34,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,46XX,W 9TH AV,West Point Grey"
"2009,8,27,12,49,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,14XX,COMMERCIAL DRIVE,Grandview-Woodland"
"2009,8,27,12,50,ENG - Solid Waste,Sanitation,Recycling Box Request,29XX,W 34TH AV,Dunbar Southlands"
"2009,8,27,12,50,ENG - Solid Waste,Sanitation,Recycling Bag Request,29XX,W 34TH AV,Dunbar Southlands"
"2009,8,27,13,5,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),48XX,BLENHEIM ST,Dunbar Southlands"
"2009,8,27,13,12,ENG - Solid Waste,Sanitation,Recycling Box Request,7XX,E 30TH AV,Kensington-Cedar Cottage"
"2009,8,27,13,15,ENG - Solid Waste,Sanitation,Recycling Bag Request,7XX,E 30TH AV,Kensington-Cedar Cottage"
"2009,8,27,13,18,ENG - Solid Waste,Sanitation,Recycling Bag Request,58XX,BATTISON ST,Killarney"
"2009,8,27,13,18,ENG - Solid Waste,Sanitation,Cart - Garbage,46XX,KNIGHT ST,Kensington-Cedar Cottage"
"2009,8,27,13,21,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,8XX,W 59TH AV,Marpole"
"2009,8,27,13,21,ENG - Transportation,Traffic and Data Management,Crosswalk Marking - New,Intersection,CLARK DRIVE and GRANT ST,Grandview-Woodland"
"2009,8,27,13,22,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),46XX,KNIGHT ST,Kensington-Cedar Cottage"
"2009,8,27,13,22,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,12XX,E 13TH AV,Mount Pleasant"
"2009,8,27,13,27,ENG - Solid Waste,Sanitation,Recycling Bag Request,9XX,NOOTKA ST,Hastings-Sunrise"
"2009,8,27,13,32,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,19XX,ALBERNI ST,West End"
"2009,8,27,13,34,ENG - Solid Waste,Sanitation,Recycling Bag Request,9XX,NOOTKA ST,Hastings-Sunrise"
"2009,8,27,13,39,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,17XX,E 29TH AV,Kensington-Cedar Cottage"
"2009,8,27,13,44,ENG - Solid Waste,Sanitation,Cart - Garbage,35XX,W 12TH AV,Kitsilano"
"2009,8,27,13,51,ENG - Streets,Streets Operations,Pothole - Repair,Intersection,FRANKLIN ST and TEMPLETON DRIVE,Grandview-Woodland"
"2009,8,27,13,56,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),22XX,NEWPORT AV,Victoria-Fraserview"
"2009,8,27,13,57,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,2500, - 2599 FRANKLIN ST,Hastings-Sunrise"
"2009,8,27,13,59,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,62XX,FRASER ST,Sunset"
"2009,8,27,14,2,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,XX,CASSIAR ST,Hastings-Sunrise"
"2009,8,27,14,5,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,26XX,MCBAIN AV,Arbutus Ridge"
"2009,8,27,14,7,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,25XX,W 41ST AV,Arbutus Ridge"
"2009,8,27,14,14,ENG - Solid Waste,Sanitation,Recycling Bag Request,30XX,W 8TH AV,Kitsilano"
"2009,8,27,14,15,ENG - Solid Waste,Sanitation,Recycling Box Request,30XX,W 8TH AV,Kitsilano"
"2009,8,27,14,16,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Out,19XX,TRUTCH ST,Kitsilano"
"2009,8,27,14,18,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),81XX,CARTIER ST,Marpole"
"2009,8,27,14,35,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,1400, - 1499 HORNBY ST,Downtown"
"2009,8,27,14,36,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,11XX,DAVIE ST,West End"
"2009,8,27,14,55,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,54XX,YEW ST,Arbutus Ridge"
"2009,8,27,15,1,ENG - Streets,Streets Operations,Sidewalk - Repair,Intersection,COLLINGWOOD ST and W 12TH AV,Kitsilano"
"2009,8,27,15,3,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,30XX,POINT GREY ROAD,Kitsilano"
"2009,8,27,15,7,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,29XX,TRIMBLE ST,West Point Grey"
"2009,8,27,15,14,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Out,33XX,MARQUETTE CRESCENT,Killarney"
"2009,8,27,15,26,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,18XX,W 16TH AV,Kitsilano"
"2009,8,27,15,27,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,32XX,E 22ND AV,Renfrew-Collingwood"
"2009,8,27,15,30,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),47XX,W 4TH AV,West Point Grey"
"2009,8,27,15,31,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,10XX,E 8TH AV,Mount Pleasant"
"2009,8,27,15,32,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),47XX,W 4TH AV,West Point Grey"
"2009,8,27,15,34,ENG - Solid Waste,Sanitation,Cart - Garbage,47XX,W 4TH AV,West Point Grey"
"2009,8,27,15,42,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,29XX,W 7TH AV,Kitsilano"
"2009,8,27,15,43,ENG - Solid Waste,Solid Waste Management,Apartment Recycling - Registration Request,14XX,W 73RD AV,Marpole"
"2009,8,27,15,46,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,36XX,W 8TH AV,Kitsilano"
"2009,8,27,15,46,ENG - Solid Waste,Sanitation,Cart - Apartment Recycling,14XX,W 73RD AV,Marpole"
"2009,8,27,15,46,ENG - Solid Waste,Sanitation,Recycling Bag Request,61XX,ST. CLAIR PLACE,Dunbar Southlands"
"2009,8,27,15,59,ENG - Solid Waste,Sanitation,Recycling Bag Request,3XX,E 38TH AV,Riley Park"
"2009,8,27,16,4,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,32XX,W 4TH AV,Kitsilano"
"2009,8,27,16,13,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,Intersection,HELMCKEN ST and RICHARDS ST,Downtown"
"2009,8,27,16,31,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Out,8XX,W 32ND AV,South Cambie"
"2009,8,27,16,36,CSG - Inspections,Reception,Reception After Hours Inquiry Case,22XX,GALT ST,Kensington-Cedar Cottage"
"2009,8,27,16,39,CSG - Inspections,Reception,Reception After Hours Inquiry Case,22XX,GALT ST,Kensington-Cedar Cottage"
"2009,8,27,16,42,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,17XX,WATERLOO ST,Kitsilano"
"2009,8,27,16,43,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,28XX,W 41ST AV,Kerrisdale"
"2009,8,27,16,45,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,54XX,YEW ST,Arbutus Ridge"
"2009,8,27,16,46,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,35XX,W 40TH AV,Dunbar Southlands"
"2009,8,27,16,46,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,55XX,ORMIDALE ST,Renfrew-Collingwood"
"2009,8,27,16,49,ENG - Solid Waste,Sanitation,Recycling Bag Request,3XX,E 39TH AV,Riley Park"
"2009,8,27,16,51,ENG - Solid Waste,Solid Waste Management,Apartment Recycling - Registration Request,12XX,W 11TH AV,Fairview"
"2009,8,27,16,52,ENG - Solid Waste,Sanitation,Cart - Apartment Recycling,12XX,W 11TH AV,Fairview"
"2009,8,27,16,59,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,59XX,WALES ST,Victoria-Fraserview"
"2009,8,27,17,9,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,Intersection,E BROADWAY and FRASER ST,Mount Pleasant"
"2009,8,27,17,13,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,Intersection,E BROADWAY and FRASER ST,Mount Pleasant"
"2009,8,27,17,13,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,Intersection,E BROADWAY and FRASER ST,Mount Pleasant"
"2009,8,27,17,17,ENG - Solid Waste,Sanitation,Recycling Bag Request,28XX,W 21ST AV,Arbutus Ridge"
"2009,8,27,17,27,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,10XX,KEEFER ST,Strathcona"
"2009,8,27,17,36,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,33XX,W 42ND AV,Dunbar Southlands"
"2009,8,27,17,49,CSG - Inspections,Reception,Reception After Hours Inquiry Case,11XX,HAMILTON ST,Downtown"
"2009,8,27,18,56,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,32XX,VIMY CRESCENT,Renfrew-Collingwood"
"2009,8,27,19,40,ENG - Solid Waste,Sanitation,Poster/Sign Removal Request,2100, - 2199 BRUNSWICK ST,Mount Pleasant"
"2009,8,27,20,3,ENG - Solid Waste,Sanitation,Cart - Apartment Recycling,16XX,BURNABY ST,West End"
"2009,8,27,20,48,CSG - Inspections,Reception,Reception After Hours Inquiry Case,16XX,GRANT ST,Grandview-Woodland"
"2009,8,27,20,56,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,69XX,NANAIMO ST,Victoria-Fraserview"
"2009,8,27,21,9,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Out,44XX,W 8TH AV,West Point Grey"
"2009,8,28,8,8,ENG - Streets,Streets Operations,Street - Repair,27XX,W 19TH AV,Arbutus Ridge"
"2009,8,28,8,12,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,64XX,LARCH ST,Kerrisdale"
"2009,8,28,8,23,ENG - Solid Waste,Sanitation,Recycling Bag Request,22XX,W 21ST AV,Arbutus Ridge"
"2009,8,28,8,24,ENG - Solid Waste,Sanitation,Recycling Bag Request,28XX,W 34TH AV,Arbutus Ridge"
"2009,8,28,8,30,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,68XX,BALSAM ST,Kerrisdale"
"2009,8,28,8,31,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,7XX,W 24TH AV,South Cambie"
"2009,8,28,8,40,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,18XX,SW MARINE DRIVE,Kerrisdale"
"2009,8,28,8,41,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,31XX,CAMOSUN ST,West Point Grey"
"2009,8,28,8,42,ENG - Streets,Streets Operations,Streets - General Issues,23XX,WALL ST,Grandview-Woodland"
"2009,8,28,8,42,ENG - Solid Waste,Sanitation,Cart - Garbage,30XX,E 6TH AV,Hastings-Sunrise"
"2009,8,28,8,43,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,XX,W 6TH AV,Mount Pleasant"
"2009,8,28,8,44,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,37XX,W 17TH AV,Dunbar Southlands"
"2009,8,28,8,44,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,XX,W 6TH AV,Mount Pleasant"
"2009,8,28,8,45,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,32XX,W 20TH AV,Dunbar Southlands"
"2009,8,28,8,48,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),30XX,E 6TH AV,Hastings-Sunrise"
"2009,8,28,8,50,ENG - Solid Waste,Sanitation,Recycling Box Request,30XX,E 6TH AV,Hastings-Sunrise"
"2009,8,28,8,51,ENG - Solid Waste,Sanitation,Recycling Bag Request,30XX,E 6TH AV,Hastings-Sunrise"
"2009,8,28,8,57,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,16XX,ALMA ST,Kitsilano"
"2009,8,28,9,6,ENG - Transportation,Traffic and Data Management,Traffic Sign - New,36XX,W 16TH AV,Kitsilano"
"2009,8,28,9,9,ENG - Solid Waste,Sanitation,Recycling Bag Request,27XX,W 21ST AV,Arbutus Ridge"
"2009,8,28,9,12,ENG - Transportation,Traffic and Data Management,Curbside Sign - New,36XX,W 16TH AV,Kitsilano"
"2009,8,28,9,13,ENG - Solid Waste,Sanitation,Cart - Garbage,5XX,W 18TH AV,South Cambie"
"2009,8,28,9,24,ENG - Solid Waste,Sanitation,Cart - Garbage,11XX,W 64TH AV,Marpole"
"2009,8,28,9,25,ENG - Streets,Streets Operations,Sidewalk - Repair,Intersection,SEYMOUR ST and W GEORGIA ST,Downtown"
"2009,8,28,9,36,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,68XX,BALSAM ST,Kerrisdale"
"2009,8,28,9,51,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,10XX,BIDWELL ST,West End"
"2009,8,28,9,56,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,11XX,MATTHEWS AV,Shaughnessy"
"2009,8,28,10,1,ENG - Solid Waste,Sanitation,Recycling Box Request,69XX,GRANVILLE ST,Kerrisdale"
"2009,8,28,10,3,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,12XX,HOWE ST,"
"2009,8,28,10,3,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,22XX,YEW ST,Kitsilano"
"2009,8,28,10,12,ENG - Solid Waste,Sanitation,Recycling Box Request,61XX,MACKENZIE ST,Kerrisdale"
"2009,8,28,10,22,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,700, - 799 E BROADWAY,Mount Pleasant"
"2009,8,28,10,23,ENG - Solid Waste,Sanitation,Cart - Garbage,15XX,W 49TH AV,Kerrisdale"
"2009,8,28,10,23,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,700, - 799 E BROADWAY,Mount Pleasant"
"2009,8,28,10,24,ENG - Streets,Streets Operations,Pothole - Repair,14XX,W 48TH AV,Oakridge"
"2009,8,28,10,24,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,13XX,E 20TH AV,Kensington-Cedar Cottage"
"2009,8,28,10,25,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,5700, - 5799 MACKENZIE ST,Kerrisdale"
"2009,8,28,10,27,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,16XX,LARCH ST,Kitsilano"
"2009,8,28,10,28,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,11XX,E PENDER ST,Strathcona"
"2009,8,28,10,43,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),41XX,W 15TH AV,West Point Grey"
"2009,8,28,10,45,ENG - Solid Waste,Sanitation,Cart - Garbage,29XX,GRANVILLE ST,Fairview"
"2009,8,28,10,48,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,40XX,W 32ND AV,Dunbar Southlands"
"2009,8,28,10,54,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Pole Repair,XX,ALEXANDER ST,Downtown"
"2009,8,28,10,57,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,49XX,BLENHEIM ST,Dunbar Southlands"
"2009,8,28,11,1,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,34XX,E 26TH AV,Renfrew-Collingwood"
"2009,8,28,11,1,ENG - Solid Waste,Sanitation,Cart - Garbage,27XX,VENABLES ST,Hastings-Sunrise"
"2009,8,28,11,3,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,49XX,BLENHEIM ST,Dunbar Southlands"
"2009,8,28,11,10,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,54XX,YEW ST,Arbutus Ridge"
"2009,8,28,11,12,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,77XX,MUIRFIELD DRIVE,Victoria-Fraserview"
"2009,8,28,11,15,ENG - Solid Waste,Sanitation,Recycling Bag Request,XX,E 18TH AV,Riley Park"
"2009,8,28,11,16,ENG - Solid Waste,Sanitation,Recycling Box Request,XX,E 18TH AV,Riley Park"
"2009,8,28,11,17,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,17XX,COLLINGWOOD ST,Kitsilano"
"2009,8,28,11,27,ENG - Solid Waste,Sanitation,Recycling Bag Request,28XX,VICTORIA DRIVE,Kensington-Cedar Cottage"
"2009,8,28,11,29,ENG - Solid Waste,Sanitation,Recycling Bag Request,69XX,WILTSHIRE ST,Kerrisdale"
"2009,8,28,11,29,ENG - Solid Waste,Sanitation,Recycling Bag Request,34XX,PUGET DRIVE,Arbutus Ridge"
"2009,8,28,11,31,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,27XX,W 2ND AV,Kitsilano"
"2009,8,28,11,34,ENG - Transportation,Active Transportation,Bicycle Route Map Request,11XX,HAMILTON ST,Downtown"
"2009,8,28,11,35,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Shield Request,20XX,ALMA ST,Kitsilano"
"2009,8,28,11,41,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,18XX,W 10TH AV,Kitsilano"
"2009,8,28,11,43,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,79XX,OSLER ST,Marpole"
"2009,8,28,11,51,ENG - Solid Waste,Sanitation,Cart - Garbage,18XX,E 38TH AV,Kensington-Cedar Cottage"
"2009,8,28,11,58,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,79XX,OSLER ST,Marpole"
"2009,8,28,12,1,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,79XX,OSLER ST,Marpole"
"2009,8,28,12,14,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,27XX,W 29TH AV,Arbutus Ridge"
"2009,8,28,12,26,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,20XX,E 12TH AV,Kensington-Cedar Cottage"
"2009,8,28,12,37,ENG - Solid Waste,Sanitation,Recycling Bag Request,54XX,WALES ST,Renfrew-Collingwood"
"2009,8,28,12,41,ENG - Solid Waste,Sanitation,Recycling Bag Request,13XX,DOGWOOD AV,Oakridge"
"2009,8,28,12,42,ENG - Solid Waste,Sanitation,Cart - Garbage,13XX,DOGWOOD AV,Oakridge"
"2009,8,28,12,44,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,4XX,W 64TH AV,Marpole"
"2009,8,28,12,49,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),13XX,DOGWOOD AV,Oakridge"
"2009,8,28,12,54,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,100, - 199 KEEFER ST,Downtown"
"2009,8,28,12,56,ENG - Streets,ZZ OLD - Streets Design (Road Ahead),Wheelchair Curb/Ramp Request,8XX,E PENDER ST,Strathcona"
"2009,8,28,12,58,ENG - Solid Waste,Sanitation,Cart - Garbage,25XX,CAROLINA ST,Mount Pleasant"
"2009,8,28,13,3,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,1500, - 1699 E 10TH AV,Kensington-Cedar Cottage"
"2009,8,28,13,7,ENG - Solid Waste,Sanitation,Cart - Apartment Recycling,16XX,WILLIAM ST,Grandview-Woodland"
